question,optionA,optionB,optionC,optionD,correctAnswer
"p5.js中,哪個函數在程式開始時只運行一次?","setup()","draw()","preload()","mousePressed()","A"
"哪個函數會不斷重複執行,用於繪製畫面?","setup()","draw()","mouseClicked()","keyTyped()","B"
"用於載入外部檔案(如圖片或CSV)的函數是?","createCanvas()","background()","preload()","fill()","C"
"設定畫布大小的函數是?","setSize()","canvas()","createCanvas()","window()","C"
"改變圖形填充顏色的函數是?","fill()","stroke()","rect()","color()","A"
"p5.js的畫布原點(0,0)在哪個位置?","左上角","右下角","中心","左下角","A"
"JavaScript中用於宣告變數的關鍵字是?","var","int","string","def","A"
"HTML中用於創建超連結的標籤是?","<link>","<a>","<href>","<url>","B"
"CSS中用於設定文字顏色的屬性是?","text-color","font-color","color","text-style","C"
"在p5.js中繪製圓形的函數是?","circle()","round()","oval()","sphere()","A"
"JavaScript中用於輸出到控制台的函數是?","print()","console.log()","output()","log()","B"
"RWD代表什麼意思?","Real Web Design","Responsive Web Design","Random Web Data","Relative Web Document","B"
"在HTML中,<div>標籤主要用於?","創建段落","創建標題","創建容器","創建列表","C"
"CSS中用於設定外邊距的屬性是?","padding","margin","border","spacing","B"
"在p5.js中,mouseX和mouseY變數代表什麼?","螢幕大小","滑鼠座標","畫布大小","隨機數值","B"